schemaname,tablename,indexname,indexdef
public,prioridades_denuncia,prioridad_nombre_key,CREATE UNIQUE INDEX prioridad_nombre_key ON public.prioridades_denuncia USING btree (nombre)
public,prioridades_denuncia,prioridad_pkey,CREATE UNIQUE INDEX prioridad_pkey ON public.prioridades_denuncia USING btree (id)
public,push_status_queue,idx_push_status_queue_pending,CREATE INDEX idx_push_status_queue_pending ON public.push_status_queue USING btree (created_at) WHERE (processed_at IS NULL)
public,push_status_queue,push_status_queue_pkey,CREATE UNIQUE INDEX push_status_queue_pkey ON public.push_status_queue USING btree (id)
public,roles_portal,roles_portal_nombre_key,CREATE UNIQUE INDEX roles_portal_nombre_key ON public.roles_portal USING btree (nombre)
public,roles_portal,roles_portal_pkey,CREATE UNIQUE INDEX roles_portal_pkey ON public.roles_portal USING btree (id)
public,tokens_push,idx_tokens_push_usuario_id_fk_b36c0b,CREATE INDEX idx_tokens_push_usuario_id_fk_b36c0b ON public.tokens_push USING btree (usuario_id)
public,tokens_push,idx_tokens_push_usuario_token,"CREATE UNIQUE INDEX idx_tokens_push_usuario_token ON public.tokens_push USING btree (usuario_id, expo_token)"
public,tokens_push,tokens_push_pkey,"CREATE UNIQUE INDEX tokens_push_pkey ON public.tokens_push USING btree (usuario_id, device_id)"
public,turno_tipo,turno_tipo_nombre_key,CREATE UNIQUE INDEX turno_tipo_nombre_key ON public.turno_tipo USING btree (nombre)
public,turno_tipo,turno_tipo_pkey,CREATE UNIQUE INDEX turno_tipo_pkey ON public.turno_tipo USING btree (id)
public,turnos,idx_t_cuadrante_fecha,"CREATE INDEX idx_t_cuadrante_fecha ON public.turnos USING btree (cuadrante_id, fecha)"
public,turnos,idx_t_estado_fecha,"CREATE INDEX idx_t_estado_fecha ON public.turnos USING btree (estado, fecha)"
public,turnos,idx_t_inspector_fecha,"CREATE INDEX idx_t_inspector_fecha ON public.turnos USING btree (inspector_id, fecha)"
public,turnos,turnos_pkey,CREATE UNIQUE INDEX turnos_pkey ON public.turnos USING btree (id)
public,turnos,turnos_uniq_por_dia,"CREATE UNIQUE INDEX turnos_uniq_por_dia ON public.turnos USING btree (inspector_id, fecha)"
public,turnos_excepciones,idx_te_planificado,CREATE INDEX idx_te_planificado ON public.turnos_excepciones USING btree (turno_planificado_id)
public,turnos_excepciones,turnos_excepciones_pkey,CREATE UNIQUE INDEX turnos_excepciones_pkey ON public.turnos_excepciones USING btree (id)
public,turnos_planificados,idx_tp_cuadrante_fecha,"CREATE INDEX idx_tp_cuadrante_fecha ON public.turnos_planificados USING btree (cuadrante_id, fecha)"
public,turnos_planificados,idx_tp_inspector_fecha,"CREATE INDEX idx_tp_inspector_fecha ON public.turnos_planificados USING btree (inspector_id, fecha)"
public,turnos_planificados,turnos_planificados_pkey,CREATE UNIQUE INDEX turnos_planificados_pkey ON public.turnos_planificados USING btree (id)
public,turnos_planificados,turnos_planificados_uniq,"CREATE UNIQUE INDEX turnos_planificados_uniq ON public.turnos_planificados USING btree (inspector_id, fecha, hora_inicio, hora_fin)"
public,usuarios_portal,idx_usuarios_portal_rol_id_fk_10da6d,CREATE INDEX idx_usuarios_portal_rol_id_fk_10da6d ON public.usuarios_portal USING btree (rol_id)
public,usuarios_portal,usuarios_portal_pkey,CREATE UNIQUE INDEX usuarios_portal_pkey ON public.usuarios_portal USING btree (usuario_id)
